
mpi,linear,25,12,38488,5346,0.008

no_mpi,linear,25,no_mpi,17204127,12930025,0.094

mpi,linear,26,12,70388,8352,0.012

no_mpi,linear,26,no_mpi,37185736,25252421,0.240

mpi,linear,27,12,136777,10697,0.023

no_mpi,linear,27,no_mpi,79534261,66088181,0.686

mpi,linear,28,12,270114,16272,0.043

no_mpi,linear,28,no_mpi,168619145,146040311,1.607

mpi,linear,29,12,595253,43333,0.076

no_mpi,linear,29,no_mpi,356385232,311512445,3.544

mpi,linear,30,12,1392354,100867,0.171

no_mpi,linear,30,no_mpi,750346043,664020804,7.547

mpi,linear,31,12,2748821,210162,0.300

no_mpi,linear,31,no_mpi,1572746870,1398540012,15.753

mpi,linear,32,12,5554992,512748,0.602

no_mpi,linear,32,no_mpi,3282986028,2924524826,33.588

mpi,parallel,25,12,32324,7431,0.005

no_mpi,parallel,25,no_mpi,17222830,12918276,0.103

mpi,parallel,25,12,25595,5555,0.009

no_mpi,parallel,25,no_mpi,10616091,7356388,0.060

mpi,parallel,25,12,14975,4258,0.005

no_mpi,parallel,25,no_mpi,6991023,5152987,0.044

mpi,parallel,25,12,12589,5087,0.014

no_mpi,parallel,25,no_mpi,3661524,3210888,0.034

mpi,parallel,26,12,71260,8745,0.011

no_mpi,parallel,26,no_mpi,37192875,25143473,0.233

mpi,parallel,26,12,43097,7620,0.011

no_mpi,parallel,26,no_mpi,21550948,16880711,0.191

mpi,parallel,26,12,29340,6953,0.016

no_mpi,parallel,26,no_mpi,16849798,12249198,0.094

mpi,parallel,26,12,23241,5888,0.011

no_mpi,parallel,26,no_mpi,10565582,8201537,0.079

mpi,parallel,27,12,136802,10688,0.023

no_mpi,parallel,27,no_mpi,79478974,65948303,0.694

mpi,parallel,27,12,74618,16103,0.021

no_mpi,parallel,27,no_mpi,52256241,46553243,0.449

mpi,parallel,27,12,51681,7593,0.033

no_mpi,parallel,27,no_mpi,32648321,29732146,0.409

mpi,parallel,27,12,40613,8055,0.028

no_mpi,parallel,27,no_mpi,24597198,23014414,0.286

mpi,parallel,28,12,276599,13943,0.057

no_mpi,parallel,28,no_mpi,168637751,146360494,1.643

mpi,parallel,28,12,138280,14048,0.035

no_mpi,parallel,28,no_mpi,114097581,100782828,1.014

mpi,parallel,28,12,126709,17413,0.044

no_mpi,parallel,28,no_mpi,81157363,70258820,0.832

mpi,parallel,28,12,104926,18241,0.049

no_mpi,parallel,28,no_mpi,58640905,55516673,0.776

mpi,parallel,29,12,596362,84133,0.072

no_mpi,parallel,29,no_mpi,356443827,313138495,3.693

mpi,parallel,29,12,306200,34246,0.060

no_mpi,parallel,29,no_mpi,234663891,209340670,2.204

mpi,parallel,29,12,251476,27293,0.076

no_mpi,parallel,29,no_mpi,155268762,141656087,1.895

mpi,parallel,29,12,171495,31835,0.092

no_mpi,parallel,29,no_mpi,119946570,112608344,1.628

mpi,parallel,30,12,1396249,127776,0.237

no_mpi,parallel,30,no_mpi,750079304,663784601,7.630

mpi,parallel,30,12,787484,107608,0.124

no_mpi,parallel,30,no_mpi,494192951,440427317,4.663

mpi,parallel,30,12,578519,67507,0.104

no_mpi,parallel,30,no_mpi,344436804,318913173,4.179

mpi,parallel,30,12,445812,51318,0.162

no_mpi,parallel,30,no_mpi,283070640,255599672,3.578

mpi,parallel,31,12,2753626,230698,0.355

no_mpi,parallel,31,no_mpi,1572182561,1399529877,15.861

mpi,parallel,31,12,1557927,206600,0.257

no_mpi,parallel,31,no_mpi,800435251,713036274,11.620

mpi,parallel,31,12,1119138,203266,0.248

no_mpi,parallel,31,no_mpi,685379774,607886552,8.587

mpi,parallel,31,12,916145,117370,0.286

no_mpi,parallel,31,no_mpi,502861811,474305819,7.359

mpi,parallel,32,12,5590614,497186,0.673

no_mpi,parallel,32,no_mpi,3280145821,2933068556,32.989

mpi,parallel,32,12,3142442,390652,0.499

no_mpi,parallel,32,no_mpi,1991605510,1787659984,21.845

mpi,parallel,32,12,2332093,462300,0.553

no_mpi,parallel,32,no_mpi,1426333531,1312001943,21.114

mpi,parallel,32,12,1924029,659035,0.564

no_mpi,parallel,32,no_mpi,981959478,855655314,17.130

